ward_num,shapeName,mean_HII,ndvi_green_fraction,ghsl_informal,population,hii_norm,informal_norm,green_deficit_norm,pop_norm,hii_rank,informal_rank,green_deficit_rank,Score_A,Score_B,Score_C,rank_A,rank_B,rank_C,cooling_score,Cooling_Priority_Tier,healthcare_dist_km,urgent_flag
91,Ward No-91,4.078461555025841,0.0702056170829914,28389.635640011868,34670.63307007435,0.7689216808760135,0.0848141938126298,0.8886367316252063,0.0680660924924463,0.9347826086956522,0.0869565217391304,0.75,0.5846739130434784,0.6766304347826086,0.4646739130434782,38,18,56,0.6376811594202899,High,1.194078026954417,False
37,Ward No-37,3.837434989870481,0.2552322144515032,63176.24405100413,182444.55811336744,0.7001575264573838,0.2519623430775924,0.5672588447911946,0.5514255966676523,0.9021739130434784,0.5217391304347826,0.3478260869565217,0.5846739130434783,0.6684782608695652,0.5733695652173914,39,22,39,0.7246376811594203,Very High,2.032782485154578,False
44,Ward No-44,2.0853896667746885,0.1138626523192722,107474.55920098392,58992.645410156256,0.20030426311216,0.4648138319435049,0.8128076025744787,0.1476219127888959,0.217391304347826,0.8913043478260869,0.6521739130434783,0.5810869565217391,0.4945652173913043,0.6630434782608696,40,53,22,0.4565217391304347,Low,0.8984788895544046,False
23,Ward No-23,2.7413311430074576,0.1701673588024646,90824.98290838346,70999.8379271264,0.3874423942645507,0.3848133377741861,0.7150103785767945,0.1868967078505998,0.4782608695652174,0.782608695652174,0.4891304347826087,0.5775000000000001,0.5570652173913044,0.6331521739130436,41,39,25,0.532608695652174,Moderate,0.971937386856902,False
27,Ward No-27,2.327594469071024,0.1241606972388813,90942.8597618342,89396.24432085823,0.269404565044868,0.3853797309580999,0.7949206395007635,0.2470702321748316,0.3152173913043478,0.7934782608695652,0.5978260869565217,0.5631521739130434,0.5054347826086956,0.625,42,51,28,0.5362318840579711,Moderate,1.0752503531822015,False
22,Ward No-22,2.3094836990056,0.1200532908432319,89186.32642187344,205502.5184172387,0.2642376167932659,0.376939664210924,0.8020549088791993,0.6268467797789866,0.3043478260869565,0.7717391304347826,0.6195652173913043,0.5595652173913044,0.5,0.6168478260869565,43,52,30,0.6304347826086957,High,1.7509063806046803,False
05,Ward No-05,4.619331570442674,0.114888644841321,16022.382136579326,22044.864576661355,0.9232302702074688,0.0253900754804682,0.8110255273845706,0.026767973104881,0.9891304347826086,0.0326086956521739,0.6304347826086957,0.5452173913043479,0.6603260869565217,0.4211956521739131,44,25,62,0.5688405797101449,High,2.6432502201553003,False
78,Ward No-78,1.7716795461345936,0.0612721040541443,86552.80204357725,24139.45420951095,0.1108037088289522,0.3642856934450568,0.9041536009837065,0.0336192481595843,0.1304347826086956,0.7391304347826086,0.782608695652174,0.5452173913043479,0.4456521739130434,0.5978260869565217,44,64,34,0.3405797101449275,Very Low,0.5592334147497863,False
72,Ward No-72,1.6985745284303342,0.0429020075227013,78019.91729970255,14592.802040249697,0.0899470670602241,0.3232855512070107,0.9360611369173304,0.0023927306415893,0.1195652173913043,0.6630434782608695,0.8478260869565217,0.5380434782608696,0.4375,0.5733695652173914,46,67,39,0.3297101449275362,Very Low,0.3429709447950076,False
31,Ward No-31,3.711625310530919,0.2758711554079104,59224.54134466965,57966.78750143613,0.6642644031749457,0.232974582442657,0.5314104893363755,0.1442663940803828,0.8695652173913043,0.4673913043478261,0.2826086956521739,0.5344565217391305,0.6222826086956521,0.5217391304347826,47,27,47,0.5434782608695653,Moderate,1.979317387352371,False
